Location	Start	End	mRNA	GENE #				
Chr_01	2173	3603	ID=mRNA1	gene1	Name=wlab.232543.1_mRNA	proteinid=2	annotator=automatic	
Chr_01	5381	7477	ID=mRNA2	gene2	Name=wlab.232541.1_mRNA	proteinid=4	annotator=automatic	
Chr_01	8675	9721	ID=mRNA3	gene3	Name=wlab.232540.1_mRNA	proteinid=6	annotator=automatic	
Chr_01	11925	12932	ID=mRNA4	gene4	Name=wlab.232538.1_mRNA	proteinid=8	annotator=automatic	
Chr_01	12992	15586	ID=mRNA5	gene5	Name=wlab.232536.1_mRNA	proteinid=9	annotator=automatic	
Chr_01	15800	27836	ID=mRNA6	gene6	Name=wlab.232534.1_mRNA	proteinid=10	annotator=automatic	
Chr_01	27950	28675	ID=mRNA7	gene7	Name=wlab.232535.1_mRNA	proteinid=11	annotator=automatic	
Chr_01	28901	29704	ID=mRNA8	gene8	Name=wlab.232533.1_mRNA	proteinid=12	annotator=automatic	
Chr_01	31503	32075	ID=mRNA9	gene9	Name=wlab.232531.1_mRNA	proteinid=14	annotator=automatic	
Chr_01	35610	36816	ID=mRNA10	gene10	Name=wlab.3291.1_mRNA	proteinid=16	annotator=automatic	
Chr_01	39096	39868	ID=mRNA11	gene11	Name=wlab.232528.1_mRNA	proteinid=18	annotator=automatic	
Chr_01	41203	42509	ID=mRNA12	gene12	Name=wlab.232525.1_mRNA	proteinid=20	annotator=automatic	
Chr_01	47798	50050	ID=mRNA13	gene13	Name=wlab.2277.1_mRNA	proteinid=22	annotator=automatic	
Chr_01	51086	52566	ID=mRNA14	gene14	Name=wlab.232522.1_mRNA	proteinid=24	annotator=automatic	
Chr_01	60643	62462	ID=mRNA15	gene15	Name=wlab.232519.1_mRNA	proteinid=27	annotator=automatic	
Chr_01	65858	66769	ID=mRNA16	gene16	Name=wlab.232516.1_mRNA	proteinid=30	annotator=automatic	
Chr_01	68441	70321	ID=mRNA17	gene17	Name=wlab.232513.1_mRNA	proteinid=32	annotator=automatic	
Chr_01	71732	73716	ID=mRNA18	gene18	Name=wlab.232511.1_mRNA	proteinid=34	annotator=automatic	
Chr_01	76698	79244	ID=mRNA19	gene19	Name=wlab.232508.1_mRNA	proteinid=36	annotator=automatic	
Chr_01	79348	81254	ID=mRNA20	gene20	Name=wlab.232509.1_mRNA	proteinid=37	annotator=automatic	
Chr_01	81368	82651	ID=mRNA21	gene21	Name=wlab.246958.1_mRNA	proteinid=38	annotator=automatic	
Chr_01	88950	93182	ID=mRNA22	gene22	Name=wlab.1.1_mRNA	proteinid=40	annotator=automatic	
Chr_01	93319	94344	ID=mRNA23	gene23	Name=wlab.232504.1_mRNA	proteinid=41	annotator=automatic	
Chr_01	94391	95410	ID=mRNA24	gene24	Name=wlab.246959.1_mRNA	proteinid=42	annotator=automatic	
Chr_01	98838	100958	ID=mRNA25	gene25	Name=wlab.21852.1_mRNA	proteinid=44	annotator=automatic	
Chr_01	104919	106174	ID=mRNA26	gene26	Name=wlab.243547.1_mRNA	proteinid=47	annotator=automatic	
Chr_01	111569	112191	ID=mRNA27	gene27	Name=wlab.246460.1_mRNA	proteinid=50	annotator=automatic	
Chr_01	112347	113046	ID=mRNA28	gene28	Name=wlab.232497.1_mRNA	proteinid=51	annotator=automatic	
Chr_01	114552	119169	ID=mRNA29	gene29	Name=wlab.246960.1_mRNA	proteinid=53	annotator=automatic	
Chr_01	119330	125053	ID=mRNA30	gene30	Name=wlab.232496.1_mRNA	proteinid=54	annotator=automatic	
Chr_01	126963	128249	ID=mRNA31	gene31	Name=wlab.3309.1_mRNA	proteinid=56	annotator=automatic	
Chr_01	130011	130751	ID=mRNA32	gene32	Name=wlab.26479.1_mRNA	proteinid=58	annotator=automatic	
Chr_01	136886	139292	ID=mRNA33	gene33	Name=wlab.232491.1_mRNA	proteinid=61	annotator=automatic	
Chr_01	141650	145912	ID=mRNA34	gene34	Name=wlab.3312.1_mRNA	proteinid=63	annotator=automatic	
Chr_01	147393	148511	ID=mRNA35	gene35	Name=wlab.232487.1_mRNA	proteinid=65	annotator=automatic	
Chr_01	151496	152878	ID=mRNA36	gene36	Name=wlab.232486.1_mRNA	proteinid=68	annotator=automatic	
Chr_01	154307	155460	ID=mRNA37	gene37	Name=wlab.232485.1_mRNA	proteinid=70	annotator=automatic	
Chr_01	155873	159352	ID=mRNA38	gene38	Name=wlab.232483.1_mRNA	proteinid=71	annotator=automatic	
Chr_01	161553	163728	ID=mRNA39	gene39	Name=wlab.232481.1_mRNA	proteinid=73	annotator=automatic	
Chr_01	167461	168634	ID=mRNA40	gene40	Name=wlab.232478.1_mRNA	proteinid=77	annotator=automatic	
Chr_01	178076	183184	ID=mRNA41	gene41	Name=wlab.232476.1_mRNA	proteinid=80	annotator=automatic	
Chr_01	183387	185689	ID=mRNA42	gene42	Name=wlab.8011.1_mRNA	proteinid=81	annotator=automatic	
Chr_01	186712	187481	ID=mRNA43	gene43	Name=wlab.232474.1_mRNA	proteinid=83	annotator=automatic	
Chr_01	189372	190596	ID=mRNA44	gene44	Name=wlab.3328.1_mRNA	proteinid=85	annotator=automatic	
Chr_01	196356	202418	ID=mRNA45	gene45	Name=wlab.232555.1_mRNA	proteinid=89	annotator=automatic	
Chr_01	204411	206357	ID=mRNA46	gene46	Name=wlab.232469.1_mRNA	proteinid=91	annotator=automatic	
Chr_01	208791	213392	ID=mRNA47	gene47	Name=wlab.232466.1_mRNA	proteinid=93	annotator=automatic	
Chr_01	215068	216689	ID=mRNA48	gene48	Name=wlab.232465.1_mRNA	proteinid=95	annotator=automatic	
Chr_01	217749	218761	ID=mRNA49	gene49	Name=wlab.1219.1_mRNA	proteinid=97	product=ATP-binding%20Cassette%20%28ABC%29%20Superfamily	annotator=Jian%20Guo
Chr_01	222221	223126	ID=mRNA50	gene50	Name=wlab.232462.1_mRNA	proteinid=100	annotator=automatic	
Chr_01	223898	241271	ID=mRNA51	gene51	Name=wlab.243545.1_mRNA	proteinid=102	annotator=automatic	
Chr_01	245881	246723	ID=mRNA52	gene52	Name=wlab.246965.1_mRNA	proteinid=105	annotator=automatic	
Chr_01	249154	250172	ID=mRNA53	gene53	Name=wlab.232458.1_mRNA	proteinid=107	annotator=automatic	
Chr_01	254962	256302	ID=mRNA54	gene54	Name=wlab.243541.1_mRNA	proteinid=109	product=%5Bacyl-carrier-protein%5D%20S-malonyltransferase%20%5BEC%3A2.3.1.39%5D	annotator=Magdalena%20Gutowska
Chr_01	258370	260531	ID=mRNA55	gene55	Name=wlab.232455.1_mRNA	proteinid=111	annotator=automatic	
Chr_01	262220	263042	ID=mRNA56	gene56	Name=wlab.243540.1_mRNA	proteinid=113	annotator=automatic	
Chr_01	265576	266803	ID=mRNA57	gene57	Name=wlab.232545.1_mRNA	proteinid=115	annotator=automatic	
Chr_01	269076	272611	ID=mRNA58	gene58	Name=wlab.246966.1_mRNA	proteinid=118	annotator=automatic	
Chr_01	274087	277622	ID=mRNA59	gene59	Name=wlab.248722.1_mRNA	proteinid=120	annotator=automatic	
Chr_01	278057	279412	ID=mRNA60	gene60	Name=wlab.243436.1_mRNA	proteinid=121	annotator=automatic	
Chr_01	285576	288483	ID=mRNA61	gene61	Name=wlab.38955.1_mRNA	proteinid=126	annotator=automatic	
Chr_01	291044	292111	ID=mRNA62	gene62	Name=wlab.246972.1_mRNA	proteinid=128	annotator=automatic	
Chr_01	292578	293466	ID=mRNA63	gene63	Name=wlab.3338.1_mRNA	proteinid=130	annotator=automatic	
Chr_01	295790	296581	ID=mRNA64	gene64	Name=wlab.246471.1_mRNA	proteinid=133	annotator=automatic	
Chr_01	300076	300880	ID=mRNA65	gene65	Name=wlab.246975.1_mRNA	proteinid=135	annotator=automatic	
Chr_01	302175	305500	ID=mRNA66	gene66	Name=wlab.246976.1_mRNA	proteinid=137	annotator=automatic	
Chr_01	306862	307960	ID=mRNA67	gene67	Name=wlab.32.1_mRNA	proteinid=139	annotator=automatic	
Chr_01	311219	313355	ID=mRNA68	gene68	Name=wlab.243367.1_mRNA	proteinid=142	annotator=automatic	
Chr_01	318890	319805	ID=mRNA69	gene69	Name=wlab.248568.1_mRNA	proteinid=145	annotator=automatic	
Chr_01	319861	321114	ID=mRNA70	gene70	Name=wlab.232440.1_mRNA	proteinid=146	annotator=automatic	
Chr_01	323744	325231	ID=mRNA71	gene71	Name=wlab.246979.1_mRNA	proteinid=148	product=Uroporphyrinogen%20decarboxylase%2C%20%28UROD4%29	annotator=Charles%20Bachy
Chr_01	326726	328841	ID=mRNA72	gene72	Name=wlab.232439.1_mRNA	proteinid=150	annotator=automatic	
Chr_01	329262	330436	ID=mRNA73	gene73	Name=wlab.243354.1_mRNA	proteinid=151	product=Flagellar%20outer%20dynein%20arm-docking%20complex%20subunit%203	annotator=Valeria%20Jimenez
Chr_01	335630	338170	ID=mRNA74	gene74	Name=wlab.246982.1_mRNA	proteinid=155	product=Myb-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_01	342126	344159	ID=mRNA75	gene75	Name=wlab.246983.1_mRNA	proteinid=158	annotator=automatic	
Chr_01	346286	348607	ID=mRNA76	gene76	Name=wlab.232433.1_mRNA	proteinid=160	annotator=automatic	
Chr_01	356239	357639	ID=mRNA77	gene77	Name=wlab.35.1_mRNA	proteinid=163	annotator=automatic	
Chr_01	363363	364323	ID=mRNA78	gene78	Name=wlab.232431.1_mRNA	proteinid=165	annotator=automatic	
Chr_01	366271	367458	ID=mRNA79	gene79	Name=wlab.2155.1_mRNA	proteinid=167	product=chlorophyll%20a%2Fb%20binding%20protein%2C%20PSI-associated%2C%20light%20harvesting%20protein	annotator=Charles%20Bachy
Chr_01	370341	372391	ID=mRNA80	gene80	Name=wlab.246986.1_mRNA	proteinid=169	annotator=automatic	
Chr_01	375023	377006	ID=mRNA81	gene81	Name=wlab.17.1_mRNA	proteinid=171	annotator=automatic	
Chr_01	378597	379351	ID=mRNA82	gene82	Name=wlab.246481.1_mRNA	proteinid=173	annotator=automatic	
Chr_01	381987	383707	ID=mRNA83	gene83	Name=wlab.243213.1_mRNA	proteinid=175	annotator=automatic	
