query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
jgi|MicpuN3v2|10000|wlab.239514.1	CDD:223738	21.088	147	114	1	1444	1590	30	174	2.22e-05	45.6	COG0666	R					FOG: Ankyrin repeat
jgi|MicpuN3v2|10002|wlab.248507.1	CDD:223535	35.196	537	324	12	23	549	2	524	2.64e-163	472	COG0459	O					Chaperonin GroEL (HSP60 family)
jgi|MicpuN3v2|10004|wlab.7808.1	CDD:223532	26.136	176	114	5	71	231	1	175	3.26e-23	91.6	COG0456	R					Acetyltransferases
jgi|MicpuN3v2|10007|wlab.248508.1	CDD:226133	31.915	94	57	3	244	334	39	128	3.79e-04	39.7	COG3605	T					Signal transduction protein containing GAF and PtsI domains
jgi|MicpuN3v2|10009|wlab.26153.1	CDD:224106	32.143	56	37	1	379	434	553	607	1.57e-05	45.3	COG1185	J					Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)
jgi|MicpuN3v2|10013|wlab.239523.1	CDD:223611	33.333	120	73	1	59	171	14	133	6.59e-26	95.1	COG0537	F	G	R			Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
jgi|MicpuN3v2|10017|wlab.248512.1	CDD:223572	26.793	474	271	18	1	465	1	407	5.39e-91	280	COG0498	E					Threonine synthase
jgi|MicpuN3v2|10018|wlab.232054.1	CDD:224141	47.312	465	207	7	124	573	3	444	0.0	533	COG1220	O					ATP-dependent protease HslVU (ClpYQ), ATPase subunit
jgi|MicpuN3v2|10024|wlab.239530.1	CDD:224166	56.616	597	252	3	16	612	2	591	0.0	964	COG1245	R					Predicted ATPase, RNase L inhibitor (RLI) homolog
jgi|MicpuN3v2|10025|wlab.239531.1	CDD:227651	34.286	140	86	3	586	723	14	149	1.33e-30	120	COG5347	U					GTPase-activating protein that regulates ARFs (ADP-ribosylation factors), involved in ARF-mediated vesicular transport
jgi|MicpuN3v2|10026|wlab.239532.1	CDD:227540	20.742	458	290	18	27	441	12	439	2.31e-06	48.8	COG5215	U					Karyopherin (importin) beta
jgi|MicpuN3v2|10029|wlab.239535.1	CDD:224148	36.280	328	183	10	51	371	2	310	5.69e-60	195	COG1227	C					Inorganic pyrophosphatase/exopolyphosphatase
jgi|MicpuN3v2|10033|wlab.239537.1	CDD:223982	28.035	346	188	18	28	360	1	298	2.84e-47	163	COG1054	R					Predicted sulfurtransferase
jgi|MicpuN3v2|10035|wlab.239539.1	CDD:223589	25.170	294	166	10	570	836	1	267	3.32e-31	124	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|10037|wlab.239541.1	CDD:226607	26.667	75	45	3	333	407	120	184	1.07e-04	40.4	COG4122	R					Predicted O-methyltransferase
jgi|MicpuN3v2|10041|wlab.232057.1	CDD:227640	30.508	118	72	3	58	167	37	152	7.31e-15	70.9	COG5333	D	K	L			Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit
jgi|MicpuN3v2|10043|wlab.239546.1	CDD:226260	34.211	114	75	0	11	124	14	127	9.48e-21	78.6	COG3737	S					Uncharacterized conserved protein
jgi|MicpuN3v2|10046|wlab.26170.1	CDD:223589	30.389	283	156	9	57	313	2	269	9.91e-34	129	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|10048|wlab.239549.1	CDD:223587	36.111	396	237	9	66	459	8	389	6.17e-117	354	COG0513	L	K	J			Superfamily II DNA and RNA helicases
jgi|MicpuN3v2|10051|wlab.239552.1	CDD:224888	35.294	85	51	2	3	84	1	84	1.20e-19	72.7	COG1977	H					Molybdopterin converting factor, small subunit
jgi|MicpuN3v2|10053|wlab.239554.1	CDD:223190	51.253	439	180	7	69	505	7	413	0.0	618	COG0112	E					Glycine/serine hydroxymethyltransferase
jgi|MicpuN3v2|10054|wlab.26175.1	CDD:224117	23.308	133	97	2	572	700	324	455	4.79e-05	44.3	COG1196	D					Chromosome segregation ATPases
jgi|MicpuN3v2|10057|wlab.239558.1	CDD:223560	47.297	74	38	1	139	211	2	75	1.42e-28	112	COG0484	O					DnaJ-class molecular chaperone with C-terminal Zn finger domain
jgi|MicpuN3v2|10060|wlab.239561.1	CDD:224390	43.401	394	202	9	49	437	11	388	4.85e-128	373	COG1473	R					Metal-dependent amidase/aminoacylase/carboxypeptidase
jgi|MicpuN3v2|10062|wlab.239563.1	CDD:223108	42.781	561	268	6	88	648	2	509	0.0	567	COG0029	H					Aspartate oxidase
jgi|MicpuN3v2|10064|wlab.239565.1	CDD:223219	52.955	423	189	6	61	478	4	421	0.0	531	COG0141	E					Histidinol dehydrogenase
jgi|MicpuN3v2|10065|wlab.246351.1	CDD:224160	54.375	320	146	0	49	368	14	333	4.41e-140	404	COG1239	H					Mg-chelatase subunit ChlI
jgi|MicpuN3v2|10066|wlab.239569.1	CDD:223589	21.944	360	184	7	317	660	2	280	1.76e-35	135	COG0515	R	T	K	L		Serine/threonine protein kinase
jgi|MicpuN3v2|10067|wlab.239567.1	CDD:223796	49.412	85	43	0	4	88	114	198	2.36e-19	83.8	COG0724	R					RNA-binding proteins (RRM domain)
jgi|MicpuN3v2|10068|wlab.239568.1	CDD:223589	20.282	355	194	10	186	537	17	285	4.87e-19	86.7	COG0515	R	T	K	L		Serine/threonine protein kinase
