Gene ID	Worden ID	EC#	HMMER	eCAMI	DIAMOND	Signalp	#ofTools
jgi|MicpuN3v2|10081|wlab.239577.1	wlab.239577	2.4.2.-	GT77(196-418)	GT77	GT77	N	3
jgi|MicpuN3v2|1070|wlab.233129.1	wlab.233129	N	GT4(544-683)	GT4	GT4	N	3
jgi|MicpuN3v2|1231|wlab.233007.1	wlab.233007	N	GT48(1756-2444)+GT48(3899-4561)	GT48	GT48	N	3
jgi|MicpuN3v2|1289|wlab.232965.1	wlab.232965	2.4.1.83	GT2(5-178)	GT2	GT2	N	3
jgi|MicpuN3v2|1303|wlab.22493.1	wlab.22493	3.2.1.1|3.2.1.98	GH13_6(1075-1360)	GH13	GH13_6	N	3
jgi|MicpuN3v2|1411|wlab.232905.1	wlab.232905	3.2.1.113	GH47(161-321)+GH47(616-858)	GH47	GH47	N	3
jgi|MicpuN3v2|1445|wlab.3746.1	wlab.3746	3.2.1.1|3.2.1.98	GH13_6(139-466)	GH13	GH13_6	N	3
jgi|MicpuN3v2|156|wlab.243351.1	wlab.243351	2.4.1.257|2.4.1.132	GT4(224-386)	GT4	GT4	N	3
jgi|MicpuN3v2|1604|wlab.22378.1	wlab.22378	2.4.2.-	GT77(190-408)	GT77	GT77	N	3
jgi|MicpuN3v2|1629|wlab.247340.1	wlab.247340	3.2.1.21|3.2.1.45	GH116(537-927)	GH116	GH116	Y(1-19)	3
jgi|MicpuN3v2|1703|wlab.247358.1	wlab.247358	2.4.1.242|2.4.1.21|2.4.1.11	GT5(47-551)	GT5	GT5	N	3
jgi|MicpuN3v2|2008|wlab.233820.1	wlab.233820	N	CE11(231-475)	CE11	CE11	Y(1-35)	3
jgi|MicpuN3v2|2031|wlab.247404.1	wlab.247404	N	GT95(131-411)	GT95	GT95	N	3
jgi|MicpuN3v2|213|wlab.232405.1	wlab.232405	2.4.1.15	GT20(142-613)	GT20	GT20	N	3
jgi|MicpuN3v2|2534|wlab.233425.1	wlab.233425	2.4.1.21	GT5(232-730)	GT5+CBM53	GT5	N	3
jgi|MicpuN3v2|2770|wlab.247532.1	wlab.247532	3.2.1.2	GH14(487-928)	GH14	GH14	N	3
jgi|MicpuN3v2|2836|wlab.247537.1	wlab.247537	N	GT22(254-741)	GT22	GT22	N	3
jgi|MicpuN3v2|288|wlab.247023.1	wlab.247023	2.4.1.18	GH13_8(466-761)	CBM48+GH13	CBM48+GH13_8	N	3
jgi|MicpuN3v2|3296|wlab.4739.1	wlab.4739	N	GH5_7(134-441)	GH5	GH5_7	Y(1-29)	3
jgi|MicpuN3v2|3328|wlab.247712.1	wlab.247712	2.4.1.259|2.4.1.261	GT22(48-472)	GT22	GT22	N	3
jgi|MicpuN3v2|3382|wlab.234076.1	wlab.234076	N	GT4(288-435)	GT4	GT4	N	3
jgi|MicpuN3v2|3467|wlab.247738.1	wlab.247738	2.4.1.-	GT57(36-569)	GT57	GT57	N	3
jgi|MicpuN3v2|3753|wlab.231229.1	wlab.231229	2.4.99.18	GT66(24-719)	GT66	GT66	N	3
jgi|MicpuN3v2|378|wlab.242463.1	wlab.242463	3.2.1.23	GH2(126-1108)	GH2	GH2	N	3
jgi|MicpuN3v2|3798|wlab.231215.1	wlab.231215	2.4.99.18	GT66(48-766)	GT66	GT66	N	3
jgi|MicpuN3v2|380|wlab.247054.1	wlab.247054	N	GH77(72-550)	GH77	GH77	N	3
