#proteinId	gotermId	goName	gotermType	goAcc
2	2930	nucleoside diphosphate kinase activity	molecular_function	GO:0004550
2	3736	ATP binding	molecular_function	GO:0005524
2	4345	GTP biosynthetic process	biological_process	GO:0006183
2	4389	UTP biosynthetic process	biological_process	GO:0006228
2	4402	CTP biosynthetic process	biological_process	GO:0006241
2	4440	DNA repair	biological_process	GO:0006281
3	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
3	6276	carbohydrate transport	biological_process	GO:0008643
3	9320	membrane	cellular_component	GO:0016020
3	3546	transporter activity	molecular_function	GO:0005215
3	4927	transport	biological_process	GO:0006810
3	9321	integral to membrane	cellular_component	GO:0016021
3	6356	L-arabinose isomerase activity	molecular_function	GO:0008733
4	13917	heat shock protein binding	molecular_function	GO:0031072
4	3052	protein kinase CK2 activity	molecular_function	GO:0004682
6	9907	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	molecular_function	GO:0016706
6	11802	protein metabolic process	biological_process	GO:0019538
7	4639	proteolysis	biological_process	GO:0006508
7	5909	metallopeptidase activity	molecular_function	GO:0008237
7	5939	zinc ion binding	molecular_function	GO:0008270
7	11635	leukotriene biosynthetic process	biological_process	GO:0019370
7	3708	binding	molecular_function	GO:0005488
7	2857	leukotriene-A4 hydrolase activity	molecular_function	GO:0004463
8	13917	heat shock protein binding	molecular_function	GO:0031072
8	4591	protein folding	biological_process	GO:0006457
8	24336	unfolded protein binding	molecular_function	GO:0051082
10	2682	serine-type endopeptidase activity	molecular_function	GO:0004252
10	4639	proteolysis	biological_process	GO:0006508
10	5786	protein localization	biological_process	GO:0008104
11	2229	translation elongation factor activity	molecular_function	GO:0003746
11	4558	translational elongation	biological_process	GO:0006414
12	2176	DNA binding	molecular_function	GO:0003677
12	3727	protein binding	molecular_function	GO:0005515
12	5939	zinc ion binding	molecular_function	GO:0008270
13	3708	binding	molecular_function	GO:0005488
16	2290	catalytic activity	molecular_function	GO:0003824
16	5830	metabolic process	biological_process	GO:0008152
